Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
1,-284,1.0,300,0,300,0,7.5
2,-284,0.995,300,0,299,1,6.19455975703125
3,-284,0.990025,300,0,296,4,11.850799642499311
4,-284,0.985074875,300,0,291,9,10.694338084737367
5,-284,0.9801495006250001,300,0,293,7,12.188385122696815
6,-200,0.9752487531218751,277,1,274,3,30.0
7,-202,0.9703725093562657,279,1,272,7,45.0
8,-284,0.9655206468094844,300,0,288,12,45.0
9,-21,0.960693043575437,98,1,93,5,52.5
10,-284,0.9558895783575597,300,0,290,10,52.5
11,-692,0.9511101304657719,300,0,288,12,25.607076362437496
12,-284,0.946354579813443,300,0,286,14,25.607076362437496
13,-284,0.9416228069143757,300,0,277,23,28.320591937050153
14,-284,0.9369146928798039,300,0,279,21,32.76654701416027
15,-284,0.9322301194154049,300,0,278,22,29.83100581509224
16,-284,0.9275689688183278,300,0,282,18,36.10193451344
17,-284,0.9229311239742362,300,0,271,29,39.72410791208618
18,-102,0.918316468354365,179,1,163,16,39.93151688167397
19,-125,0.9137248860125932,202,1,178,24,45.62237831524658
20,-284,0.9091562615825302,300,0,275,25,45.62237831524658
21,-284,0.9046104802746175,300,0,271,29,45.62237831524658
22,-284,0.9000874278732445,300,0,266,34,45.62237831524658
23,-284,0.8955869907338783,300,0,269,31,45.62237831524658
24,-284,0.8911090557802088,300,0,266,34,45.62237831524658
25,-109,0.8866535105013078,186,1,166,20,52.81118915762329
26,-284,0.8822202429488013,300,0,258,42,52.81118915762329
27,-284,0.8778091417340573,300,0,268,32,52.81118915762329
28,-284,0.8734200960253871,300,0,264,36,52.81118915762329
29,-39,0.8690529955452602,116,1,99,17,56.405594578811645
30,-284,0.8647077305675338,300,0,266,34,56.405594578811645
31,-284,0.8603841919146962,300,0,265,35,56.405594578811645
32,-284,0.8560822709551227,300,0,255,45,56.405594578811645
33,-284,0.851801859600347,300,0,254,46,56.405594578811645
34,-284,0.8475428503023453,300,0,246,54,56.405594578811645
35,-20,0.8433051360508336,97,1,81,16,58.20279728940582
36,-284,0.8390886103705794,300,0,246,54,58.20279728940582
37,-284,0.8348931673187264,300,0,246,54,58.20279728940582
38,-284,0.8307187014821328,300,0,246,54,58.20279728940582
39,-284,0.8265651079747222,300,0,256,44,58.20279728940582
40,-284,0.8224322824348486,300,0,243,57,58.20279728940582
41,-210,0.8183201210226743,287,1,226,61,59.10139864470291
42,-37,0.8142285204175609,114,1,91,23,59.550699322351456
43,-284,0.810157377815473,300,0,239,61,59.550699322351456
44,-284,0.8061065909263957,300,0,244,56,59.550699322351456
45,-284,0.8020760579717637,300,0,238,62,59.550699322351456
46,-284,0.798065677681905,300,0,229,71,59.550699322351456
47,-154,0.7940753492934954,231,1,186,45,59.775349661175724
48,-284,0.7901049725470279,300,0,233,67,59.775349661175724
49,-452,0.7861544476842928,300,0,229,71,49.39265095827806
50,-11,0.7822236754458713,88,1,69,19,49.39265095827806
51,19,0.778312557068642,58,1,41,17,53.114042365648295
52,-284,0.7744209942832988,300,0,236,64,53.114042365648295
53,-51,0.7705488893118823,128,1,98,30,56.557021182824144
54,-734,0.7666961448653229,300,0,241,59,41.82832187252846
55,-83,0.7628626641409962,160,1,127,33,43.862547974659606
56,-134,0.7590483508202912,211,1,157,54,51.9312739873298
57,-284,0.7552531090661897,300,0,221,79,51.9312739873298
58,-158,0.7514768435208588,235,1,181,54,55.9656369936649
59,-7,0.7477194593032545,84,1,64,20,57.98281849683245
60,-284,0.7439808620067382,300,0,219,81,57.98281849683245
61,-87,0.7402609576967045,164,1,122,42,58.991409248416225
62,-64,0.736559652908221,141,1,101,40,59.495704624208116
63,-5,0.7328768546436799,82,1,62,20,59.74785231210406
64,37,0.7292124703704616,40,1,32,8,59.87392615605203
65,-284,0.7255664080186093,300,0,221,79,59.87392615605203
66,-146,0.7219385759785162,223,1,157,66,59.93696307802601
67,-78,0.7183288830986236,155,1,109,46,59.968481539013005
68,-123,0.7147372386831305,200,1,148,52,59.9842407695065
69,-81,0.7111635524897149,158,1,118,40,59.99212038475325
70,38,0.7076077347272662,39,1,26,13,59.996060192376625
71,-82,0.7040696960536299,159,1,102,57,59.998030096188316
72,13,0.7005493475733617,64,1,46,18,59.99901504809416
73,39,0.697046600835495,38,1,26,12,59.999507524047075
74,28,0.6935613678313175,49,1,36,13,59.99975376202354
75,35,0.6900935609921609,42,1,25,17,59.99987688101177
76,35,0.6866430931872001,42,1,31,11,59.999938440505886
77,-78,0.6832098777212641,155,1,99,56,59.99996922025294
78,-87,0.6797938283326578,164,1,121,43,59.999984610126475
79,-12,0.6763948591909945,89,1,58,31,59.99999230506324
80,49,0.6730128848950395,28,1,18,10,59.99999615253162
81,17,0.6696478204705644,60,1,43,17,59.99999807626581
82,23,0.6662995813682115,54,1,36,18,59.999999038132906
83,-85,0.6629680834613705,162,1,110,52,59.99999951906645
84,51,0.6596532430440636,26,1,15,11,59.999999759533225
85,45,0.6563549768288433,32,1,19,13,59.99999987976661
86,22,0.653073201944699,55,1,38,17,59.99999993988331
87,-101,0.6498078359349755,178,1,106,72,59.999999969941655
88,35,0.6465587967553006,42,1,25,17,59.99999998497083
89,29,0.6433260027715241,48,1,26,22,59.999999992485414
90,-23,0.6401093727576664,100,1,70,30,59.99999999624271
91,-86,0.6369088258938781,163,1,103,60,59.99999999812135
92,-34,0.6337242817644086,111,1,72,39,59.99999999906068
93,5,0.6305556603555866,72,1,45,27,59.99999999953034
94,0,0.6274028820538087,77,1,51,26,59.999999999765166
95,1,0.6242658676435396,76,1,45,31,59.99999999988258
96,28,0.6211445383053219,49,1,33,16,60.16480380538125
97,49,0.6180388156137953,28,1,15,13,63.8801048385037
